"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"3829","","singlestim-multislider","52","440978","0.0-10.0-8.0","","20381","1476727190858","1","68","32","","","0","12","9","7","5","0.6","0.8","0.8","1"
"4512","","singlestim-multislider","53","445806","0.0-10.0-34.0","","20381","1476727190858","1","40","60","","","1","12","9","7","5","NA","NA","NA","1"
"4412","","singlestim-multislider","54","450536","0.0-10.0-10.0","","20381","1476727190858","1","38","62","","","0","12","9","7","5","0.6","0.8","0.8","1"
"3414","","singlestim-multislider","55","454266","0.0-10.0-33.0","","20381","1476727190858","1","94","7","","","1","12","9","7","5","NA","NA","NA","1"
"4311","","singlestim-multislider","56","458890","0.0-10.0-30.0","","20381","1476727190858","1","58","42","","","0","12","9","7","5","0.8","0.8","1","1"
"6993","","singlestim-multislider","57","466190","0.0-10.0-39.0","","20381","1476727190858","1","54","46","","","1","12","9","7","5","NA","NA","NA","1"
"3722","","singlestim-multislider","58","470227","0.0-10.0-41.0","","20381","1476727190858","1","60","40","","","1","12","9","7","5","NA","NA","NA","1"
"5431","","singlestim-multislider","59","475976","0.0-10.0-37.0","","20381","1476727190858","1","64","36","","","1","12","9","7","5","NA","NA","NA","1"
"4025","","singlestim-multislider","60","480320","0.0-10.0-17.0","","20381","1476727190858","1","68","32","","","0","12","9","7","5","0.8","0.6","0.8","1"
"3266","","singlestim-multislider","61","483906","0.0-10.0-16.0","","20381","1476727190858","1","59","41","","","0","12","9","7","5","0.8","0.6","0.8","1"
"2412","","singlestim-multislider","62","486630","0.0-10.0-14.0","","20381","1476727190858","1","40","60","","","0","12","9","7","5","0.6","0.8","1","1"
"2950","","singlestim-multislider","63","489899","0.0-10.0-13.0","","20381","1476727190858","1","63","37","","","0","12","9","7","5","0.6","0.8","1","1"
"2360","","singlestim-multislider","64","492574","0.0-10.0-20.0","","20381","1476727190858","1","60","40","","","0","12","9","7","5","0.8","0.6","1","1"
"2363","","singlestim-multislider","65","495244","0.0-10.0-25.0","","20381","1476727190858","1","36","64","","","0","12","9","7","5","0.8","0.8","0.8","1"
"2454","","singlestim-multislider","66","498015","0.0-10.0-3.0","","20381","1476727190858","1","43","57","","","0","12","9","7","5","0.6","0.6","0.8","1"
"1987","","singlestim-multislider","67","500323","0.0-10.0-12.0","","20381","1476727190858","1","63","37","","","0","12","9","7","5","0.6","0.8","1","1"
"1941","","singlestim-multislider","68","502571","0.0-10.0-31.0","","20381","1476727190858","1","61","39","","","0","12","9","7","5","0.8","0.8","1","1"
"2140","","singlestim-multislider","69","505023","0.0-10.0-18.0","","20381","1476727190858","1","36","64","","","0","12","9","7","5","0.8","0.6","0.8","1"
"2070","","singlestim-multislider","70","507413","0.0-10.0-9.0","","20381","1476727190858","1","66","34","","","0","12","9","7","5","0.6","0.8","0.8","1"
