"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"9553","","singlestim-multislider","75","1407063","0.0-10.0-20.0","","1476640284074","1","46","55","","","0","12","9","7","5","0.8","0.6","1","1"
"12921","","singlestim-multislider","76","1420325","0.0-10.0-18.0","","1476640284074","1","44","56","","","0","12","9","7","5","0.8","0.6","0.8","1"
"26826","","singlestim-multislider","77","1447467","0.0-10.0-25.0","","1476640284074","0","92","8","","","0","12","9","7","5","0.8","0.8","0.8","1"
"10993","","singlestim-multislider","78","1458773","0.0-10.0-4.0","","1476640284074","1","19","81","","","0","12","9","7","5","0.6","0.6","1","1"
"10917","","singlestim-multislider","79","1470030","0.0-10.0-17.0","","1476640284074","0","58","42","","","0","12","9","7","5","0.8","0.6","0.8","1"
"7946","","singlestim-multislider","80","1478318","0.0-10.0-10.0","","1476640284074","1","32","68","","","0","12","9","7","5","0.6","0.8","0.8","1"
"14396","","singlestim-multislider","81","1493049","0.0-10.0-8.0","","1476640284074","1","27","73","","","0","12","9","7","5","0.6","0.8","0.8","1"
"8103","","singlestim-multislider","82","1501486","0.0-10.0-24.0","","1476640284074","1","6","94","","","0","12","9","7","5","0.8","0.8","0.8","1"
"9628","","singlestim-multislider","83","1511428","0.0-10.0-28.0","","1476640284074","1","10","90","","","0","12","9","7","5","0.8","0.8","1","1"
"6816","","singlestim-multislider","84","1518571","0.0-10.0-11.0","","1476640284074","0","93","7","","","0","12","9","7","5","0.6","0.8","0.8","1"
"11101","","singlestim-multislider","85","1529988","0.0-10.0-40.0","","1476640284074","0","94","6","","","1","12","9","7","5","NA","NA","NA","1"
"9442","","singlestim-multislider","86","1539758","0.0-10.0-22.0","","1476640284074","1","37","63","","","0","12","9","7","5","0.8","0.6","1","1"
"10937","","singlestim-multislider","87","1551013","0.0-10.0-15.0","","1476640284074","0","62","38","","","0","12","9","7","5","0.6","0.8","1","1"
"10153","","singlestim-multislider","88","1561496","0.0-10.0-19.0","","1476640284074","0","80","20","","","0","12","9","7","5","0.8","0.6","0.8","1"
"11405","","singlestim-multislider","89","1573222","0.0-10.0-36.0","","1476640284074","1","39","61","","","1","12","9","7","5","NA","NA","NA","1"
"18690","","singlestim-multislider","90","1592255","0.0-10.0-7.0","","1476640284074","0","90","10","","","0","12","9","7","5","0.6","0.6","1","1"
"5687","","singlestim-multislider","91","1598263","0.0-10.0-31.0","","1476640284074","0","100","0","","","0","12","9","7","5","0.8","0.8","1","1"
"16948","","singlestim-multislider","92","1615542","0.0-10.0-16.0","","1476640284074","1","40","60","","","0","12","9","7","5","0.8","0.6","0.8","1"
"5802","32","text","93","1621672","0.0-11.0","","1476640284074","","","","","","","","","","","","","",""
